"Name","Pos","Played","Started","MOTM","Goals","Assists","Shots","Shot_Comp","Pass","Pass_Comp","Key_Pass","Dribble","Dribble_Comp","Tackle","Tackle_Comp","Possession_Won","Possession_Lost","Distance","Rating"
"Nicolas Jackson",NA,1,1,1,0,3,4,1,13,11,4,8,7,1,0,1,3,11.2,8.1
"Raheem Sterling",NA,1,1,0,2,1,3,3,16,12,2,12,12,0,0,0,3,12.3,8.1
"João Félix",NA,1,0,0,2,0,2,2,1,1,2,3,3,0,0,0,0,4.3,7.6
"Kai Havertz",NA,1,1,0,0,0,0,0,9,7,2,8,7,0,0,0,2,7,5.7
"Conor Gallagher",NA,1,1,0,0,0,0,0,7,6,0,6,6,0,0,0,1,12.1,6.2
"Declan Rice",NA,1,0,0,0,0,0,0,7,7,0,4,3,1,1,1,1,5.2,6.3
"Denis Zakaria",NA,1,1,0,0,0,0,0,8,8,0,8,8,0,0,1,0,7.1,6.4
"Marc Cucurella",NA,1,1,0,0,0,0,0,14,12,1,14,14,1,0,0,1,12.1,7.8
"Andreas Christensen",NA,1,1,0,0,0,0,0,6,6,0,5,5,1,1,2,0,10.5,7.2
"Trevoh Chalobah",NA,1,1,0,0,0,0,0,6,6,0,3,3,1,1,3,0,10.5,7.3
"Malo Gusto",NA,1,1,0,0,0,0,0,12,11,0,10,9,0,0,1,2,12.6,6.9
"Édouard Mendy",NA,1,1,0,0,0,0,0,6,6,0,2,2,0,0,2,0,5.2,7.2
"Wesley Fofana",NA,1,0,0,0,0,0,0,7,6,0,7,7,0,0,2,1,7.7,6.2
