"Name","Pos","Played","Started","MOTM","Goals","Assists","Shots","Shot_Comp","Pass","Pass_Comp","Key_Pass","Dribble","Dribble_Comp","Tackle","Tackle_Comp","Possession_Won","Possession_Lost","Distance","Rating"
"João Félix",NA,1,1,1,2,0,2,2,6,5,1,8,7,0,0,0,2,7.3,8.1
"Raheem Sterling",NA,1,1,0,0,0,0,0,15,14,0,15,13,0,0,0,2,12.8,6.5
"Kai Havertz",NA,1,1,0,0,1,3,3,11,9,2,11,11,1,1,1,1,7.7,7.2
"Denis Zakaria",NA,1,1,0,0,0,1,1,11,9,0,11,10,0,0,0,3,9.8,6.5
"Declan Rice",NA,1,1,0,0,0,0,0,16,14,0,13,11,1,1,3,1,12.3,7
"Marc Cucurella",NA,1,1,0,0,1,0,0,14,11,1,16,14,2,1,4,3,13.1,7.8
"Benoît Badiashile",NA,1,1,0,0,0,0,0,3,3,0,1,1,0,0,1,0,10.9,5.9
"Andreas Christensen",NA,1,1,0,0,0,0,0,8,8,0,6,6,0,0,3,0,10.3,6.8
"Trevoh Chalobah",NA,1,1,0,0,0,0,0,5,4,0,2,2,1,1,3,0,11,6.6
"Malo Gusto",NA,1,1,0,0,0,0,0,12,10,2,9,9,0,0,2,1,13.3,7.8
"Édouard Mendy",NA,1,1,0,0,0,0,0,3,3,0,1,1,0,0,3,0,4.7,7.2
"Conor Gallagher",NA,1,0,0,0,0,0,0,3,3,0,3,3,0,0,0,0,2.5,5.8
"Warren Zaïre-Emery",NA,1,0,0,1,0,1,1,3,2,0,3,3,0,0,0,1,4.6,7.1
"Nicolas Jackson",NA,1,0,0,0,1,0,0,6,3,1,6,5,0,0,1,4,3.8,6.2
