"Name","Pos","Played","Started","MOTM","Goals","Assists","Shots","Shot_Comp","Pass","Pass_Comp","Key_Pass","Dribble","Dribble_Comp","Tackle","Tackle_Comp","Possession_Won","Possession_Lost","Distance","Rating"
"Armando Broja",NA,1,0,0,1,0,1,1,2,1,0,3,3,0,0,0,0,2.8,7.5
"João Félix",NA,1,1,1,2,1,4,3,13,11,3,9,9,0,0,0,3,8.3,8.7
"Raheem Sterling",NA,1,0,0,0,0,1,1,4,1,0,2,1,0,0,0,1,3.4,5.9
"Warren Zaïre-Emery",NA,1,0,0,0,0,0,0,5,4,2,5,5,0,0,1,1,3.8,6.3
"Mason Mount",NA,1,1,0,2,1,4,4,17,12,1,12,12,1,0,2,3,10.4,8.5
"Kai Havertz",NA,1,1,0,1,1,3,0,13,12,2,12,12,0,0,0,0,8.7,8
"Romeo Lavia",NA,1,0,0,0,0,0,0,4,4,0,3,3,0,0,0,0,1.9,6
"Enzo Fernández",NA,1,1,0,0,1,0,0,14,13,1,11,10,0,0,2,2,8.4,7.1
"Declan Rice",NA,1,1,0,0,0,0,0,12,10,1,9,7,1,1,3,3,12,7.3
"Marc Cucurella",NA,1,0,0,0,1,0,0,6,6,1,4,4,0,0,1,0,4.1,7.5
"Ben Chilwell",NA,1,1,0,0,0,0,0,11,11,0,7,7,1,0,1,0,8.3,7.4
"Joško Gvardiol",NA,1,1,0,0,0,0,0,9,9,0,5,5,0,0,0,0,10.4,7.3
"Andreas Christensen",NA,1,1,0,0,0,0,0,9,9,0,7,7,0,0,1,0,9.8,7.2
"Wesley Fofana",NA,1,1,0,0,0,0,0,12,12,0,6,6,2,2,3,0,10.6,8.1
"Malo Gusto",NA,1,0,0,0,0,0,0,8,6,0,7,6,0,0,2,2,3.7,6.8
"Reece James",NA,1,1,0,0,1,0,0,14,12,2,14,14,0,0,1,1,9.3,8
"Kepa",NA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.7,6.1
