"Name","Pos","Played","Started","MOTM","Goals","Assists","Shots","Shot_Comp","Pass","Pass_Comp","Key_Pass","Dribble","Dribble_Comp","Tackle","Tackle_Comp","Possession_Won","Possession_Lost","Distance","Rating"
"Nicolas Jackson",NA,1,1,0,0,1,0,0,7,6,1,7,6,1,1,2,2,10.8,7.1
"Raheem Sterling",NA,1,1,0,1,0,1,1,10,9,1,10,9,0,0,0,2,12.4,7
"Warren Zaïre-Emery",NA,1,1,0,0,1,1,1,13,12,1,13,13,1,1,1,2,10.5,6.9
"Denis Zakaria",NA,1,1,0,0,0,0,0,16,16,0,12,11,0,0,0,1,11,6.3
"Conor Gallagher",NA,1,1,0,0,0,0,0,16,16,0,15,14,0,0,1,1,11.5,6.4
"Marc Cucurella",NA,1,1,0,0,0,0,0,18,16,0,16,16,0,0,3,1,12,7.2
"Joško Gvardiol",NA,1,1,0,0,0,0,0,8,8,0,7,7,2,2,3,0,9.5,7
"Benoît Badiashile",NA,1,1,0,0,0,0,0,14,13,0,11,11,0,0,3,1,9.7,6.9
"Trevoh Chalobah",NA,1,1,0,0,0,0,0,9,9,0,8,8,0,0,0,0,10.1,7
"Malo Gusto",NA,1,1,1,1,0,1,1,12,9,1,13,13,1,1,1,3,12.1,8.2
"Édouard Mendy",NA,1,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0,4.7,6.6
