"Name","Pos","Played","Started","MOTM","Goals","Assists","Shots","Shot_Comp","Pass","Pass_Comp","Key_Pass","Dribble","Dribble_Comp","Tackle","Tackle_Comp","Possession_Won","Possession_Lost","Distance","Rating"
"João Félix",NA,1,1,1,2,1,2,2,8,6,1,10,7,0,0,0,4,9.6,8.2
"Mason Mount",NA,1,1,0,0,1,0,0,11,11,1,10,10,0,0,0,0,12.3,6.6
"Kai Havertz",NA,1,1,0,1,1,1,1,9,8,1,9,8,0,0,0,2,9.6,7.4
"Enzo Fernández",NA,1,1,0,0,0,0,0,12,12,0,11,11,0,0,0,0,10.1,6.4
"Declan Rice",NA,1,1,0,0,0,0,0,11,9,0,9,9,0,0,0,1,12.4,6.1
"Ben Chilwell",NA,1,1,0,0,0,0,0,10,9,0,8,8,0,0,1,0,10.4,7.1
"Joško Gvardiol",NA,1,1,0,0,0,0,0,6,6,0,6,6,0,0,0,0,10.8,6.5
"Andreas Christensen",NA,1,1,0,0,0,0,0,8,6,0,6,6,0,0,1,0,10.6,6.9
"Wesley Fofana",NA,1,1,0,0,0,0,0,12,11,0,7,6,3,3,8,0,10.3,7.4
"Reece James",NA,1,1,0,0,0,0,0,10,8,0,9,9,0,0,0,1,10.6,7.1
"Kepa",NA,1,1,0,0,0,0,0,4,4,0,0,0,0,0,3,0,5.3,7.2
"Malo Gusto",NA,1,0,0,0,0,0,0,2,2,0,2,2,0,0,0,0,2.4,6.2
"Marc Cucurella",NA,1,0,0,0,0,0,0,2,2,0,1,1,1,0,1,0,2.4,6.2
"Denis Zakaria",NA,1,0,0,0,0,0,0,2,2,0,1,1,0,0,0,0,2.2,5.8
"Raheem Sterling",NA,1,0,0,0,1,1,0,3,2,1,4,4,1,0,0,1,2.5,6.1
"Nicolas Jackson",NA,1,0,0,1,0,1,1,2,2,1,2,2,0,0,0,0,2.2,7.8
