"Name","Pos","Played","Started","MOTM","Goals","Assists","Shots","Shot_Comp","Pass","Pass_Comp","Key_Pass","Dribble","Dribble_Comp","Tackle","Tackle_Comp","Possession_Won","Possession_Lost","Distance","Rating"
"João Félix",NA,1,1,1,1,1,2,1,11,8,3,13,12,0,0,0,4,11.8,7.9
"Mason Mount",NA,1,1,0,0,0,0,0,13,11,0,12,11,0,0,1,2,12.4,5.9
"Kai Havertz",NA,1,1,0,1,0,5,3,9,8,1,11,11,0,0,0,4,11.8,7.1
"Enzo Fernández",NA,1,1,0,0,1,0,0,5,5,1,5,4,0,0,0,1,8.8,6.4
"Declan Rice",NA,1,1,0,0,0,0,0,12,11,0,10,10,0,0,3,1,11.3,6.5
"Ben Chilwell",NA,1,1,0,0,0,0,0,12,9,0,6,6,1,1,1,1,12,6.8
"Joško Gvardiol",NA,1,1,0,0,0,0,0,12,11,0,9,9,2,1,3,0,10.9,7.9
"Andreas Christensen",NA,1,1,0,0,0,0,0,14,12,0,9,9,0,0,4,1,10.6,7.2
"Wesley Fofana",NA,1,1,0,0,0,0,0,4,4,0,2,2,1,1,0,0,11.3,6.8
"Reece James",NA,1,1,0,0,0,0,0,10,9,1,12,10,3,3,2,3,12.7,7.7
"Kepa",NA,1,1,0,0,0,0,0,7,7,0,1,1,0,0,5,0,5.8,7.7
"Warren Zaïre-Emery",NA,1,0,0,0,0,0,0,3,2,0,3,3,0,0,0,1,3.3,5.7
