"Name","Pos","Played","Started","MOTM","Goals","Assists","Shots","Shot_Comp","Pass","Pass_Comp","Key_Pass","Dribble","Dribble_Comp","Tackle","Tackle_Comp","Possession_Won","Possession_Lost","Distance","Rating"
"João Félix",NA,1,1,0,3,0,3,3,8,8,2,7,7,0,0,0,0,8.7,8.3
"Mason Mount",NA,1,1,0,0,3,3,2,7,6,3,11,19,0,0,0,3,9.6,7
"Kai Havertz",NA,1,1,1,1,1,2,1,15,14,2,12,12,0,0,1,1,11.8,8.5
"Enzo Fernández",NA,1,1,0,0,0,0,0,8,7,0,8,8,0,0,0,1,8.1,6.4
"Declan Rice",NA,1,1,0,0,0,0,0,13,12,0,12,12,1,1,2,0,11.7,7.4
"Ben Chilwell",NA,1,1,0,0,0,0,0,11,9,0,9,9,1,1,3,2,8.5,7.5
"Joško Gvardiol",NA,1,1,0,0,0,0,0,8,8,0,6,6,1,1,0,0,10.1,6.9
"Andreas Christensen",NA,1,1,0,0,0,0,0,9,9,0,6,6,0,0,2,0,9.9,7.2
"Wesley Fofana",NA,1,1,0,0,0,0,0,6,6,0,5,5,0,0,0,0,10.2,7.2
"Reece James",NA,1,1,0,0,0,0,0,10,7,0,10,9,1,0,2,3,8.3,7
"Kepa",NA,1,1,0,0,0,0,0,1,1,0,1,1,0,0,1,0,4.7,7.1
"Malo Gusto",NA,1,0,0,0,1,0,0,4,4,1,4,4,0,0,1,0,4,7.3
"Marc Cucurella",NA,1,0,0,0,0,0,0,2,2,0,3,3,1,1,1,1,3.9,6.8
"Warren Zaïre-Emery",NA,1,0,0,0,0,0,0,5,5,0,4,4,0,0,0,0,3.7,6.1
"Raheem Sterling",NA,1,0,0,1,0,1,1,3,3,1,4,3,2,0,1,1,3,7.5
"Nicolas Jackson",NA,1,0,0,0,0,0,0,2,2,0,1,1,0,0,0,0,2.7,6.2
